Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify Schema json,,,,2025-10-26 14:19:21,2025-10-26 14:19:32,10.479s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/POST - Create a New User,,,,2025-10-26 14:19:22,2025-10-26 14:19:27,5.539s,PASSED
defaultPackage.RandomData.setRandomUserData(),,,,2025-10-26 14:19:22,2025-10-26 14:19:22,0.231s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-26 14:19:22,2025-10-26 14:19:22,0.025s,PASSED
"response = sendRequestAndVerify(findTestObject(""POST - Create a New User""))",,,,2025-10-26 14:19:22,2025-10-26 14:19:27,4.456s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-26 14:19:27,2025-10-26 14:19:27,0.000s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/create_a_new_user.json""",,,,2025-10-26 14:19:27,2025-10-26 14:19:27,0.000s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-26 14:19:27,2025-10-26 14:19:27,0.000s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-26 14:19:27,2025-10-26 14:19:27,0.031s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-26 14:19:27,2025-10-26 14:19:27,0.016s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-26 14:19:27,2025-10-26 14:19:27,0.218s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/GET - All Users,,,,2025-10-26 14:19:27,2025-10-26 14:19:28,1.339s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET - All Users""))",,,,2025-10-26 14:19:28,2025-10-26 14:19:28,0.735s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-26 14:19:28,2025-10-26 14:19:28,0.000s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/get_ all_users.json""",,,,2025-10-26 14:19:28,2025-10-26 14:19:28,0.000s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-26 14:19:28,2025-10-26 14:19:28,0.000s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-26 14:19:28,2025-10-26 14:19:28,0.000s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-26 14:19:28,2025-10-26 14:19:28,0.016s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-26 14:19:28,2025-10-26 14:19:28,0.047s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/GET - Single User,,,,2025-10-26 14:19:28,2025-10-26 14:19:30,1.165s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-26 14:19:29,2025-10-26 14:19:29,0.017s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET - Single User"", [""UserId"":randomId]))",,,,2025-10-26 14:19:29,2025-10-26 14:19:30,0.854s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-26 14:19:30,2025-10-26 14:19:30,0.000s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/get_single_user.json""",,,,2025-10-26 14:19:30,2025-10-26 14:19:30,0.000s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-26 14:19:30,2025-10-26 14:19:30,0.000s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-26 14:19:30,2025-10-26 14:19:30,0.000s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-26 14:19:30,2025-10-26 14:19:30,0.016s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-26 14:19:30,2025-10-26 14:19:30,0.000s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/PATCH - Update a User,,,,2025-10-26 14:19:30,2025-10-26 14:19:31,0.995s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-26 14:19:30,2025-10-26 14:19:30,0.015s,PASSED
"response = sendRequestAndVerify(findTestObject(""PATCH - Update a User"", [""UserId"":randomId]))",,,,2025-10-26 14:19:30,2025-10-26 14:19:31,0.712s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-26 14:19:31,2025-10-26 14:19:31,0.000s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/update_a_user.json""",,,,2025-10-26 14:19:31,2025-10-26 14:19:31,0.000s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-26 14:19:31,2025-10-26 14:19:31,0.000s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-26 14:19:31,2025-10-26 14:19:31,0.000s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-26 14:19:31,2025-10-26 14:19:31,0.000s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-26 14:19:31,2025-10-26 14:19:31,0.000s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/DELETE - Delete a User,,,,2025-10-26 14:19:31,2025-10-26 14:19:32,1.048s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-26 14:19:31,2025-10-26 14:19:31,0.000s,PASSED
"response = sendRequestAndVerify(findTestObject(""DELETE - Delete a User"", [""UserId"":randomId]))",,,,2025-10-26 14:19:31,2025-10-26 14:19:32,0.706s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-26 14:19:32,2025-10-26 14:19:32,0.000s,PASSED
