Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify Schema json,,,,2025-10-25 21:16:20,2025-10-25 21:16:35,15.104s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/POST - Create a New User,,,,2025-10-25 21:16:20,2025-10-25 21:16:28,7.392s,PASSED
defaultPackage.RandomData.setRandomUserData(),,,,2025-10-25 21:16:21,2025-10-25 21:16:22,0.312s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-25 21:16:22,2025-10-25 21:16:22,0.013s,PASSED
"response = sendRequestAndVerify(findTestObject(""POST - Create a New User""))",,,,2025-10-25 21:16:22,2025-10-25 21:16:27,5.700s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-25 21:16:27,2025-10-25 21:16:27,0.000s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/create_a_new_user.json""",,,,2025-10-25 21:16:27,2025-10-25 21:16:27,0.004s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-25 21:16:27,2025-10-25 21:16:27,0.000s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-25 21:16:27,2025-10-25 21:16:27,0.036s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-25 21:16:27,2025-10-25 21:16:27,0.010s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-25 21:16:27,2025-10-25 21:16:28,0.344s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/GET - All Users,,,,2025-10-25 21:16:28,2025-10-25 21:16:30,2.454s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET - All Users""))",,,,2025-10-25 21:16:28,2025-10-25 21:16:30,1.782s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-25 21:16:30,2025-10-25 21:16:30,0.000s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/get_ all_users.json""",,,,2025-10-25 21:16:30,2025-10-25 21:16:30,0.004s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-25 21:16:30,2025-10-25 21:16:30,0.000s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-25 21:16:30,2025-10-25 21:16:30,0.005s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-25 21:16:30,2025-10-25 21:16:30,0.010s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-25 21:16:30,2025-10-25 21:16:30,0.045s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/GET - Single User,,,,2025-10-25 21:16:30,2025-10-25 21:16:32,1.581s,PASSED
defaultPackage.RandomData.setRandomUserData(),,,,2025-10-25 21:16:30,2025-10-25 21:16:31,0.015s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-25 21:16:31,2025-10-25 21:16:31,0.005s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET - Single User"", [""UserId"":randomId]))",,,,2025-10-25 21:16:31,2025-10-25 21:16:32,1.205s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-25 21:16:32,2025-10-25 21:16:32,0.004s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/get_single_user.json""",,,,2025-10-25 21:16:32,2025-10-25 21:16:32,0.000s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-25 21:16:32,2025-10-25 21:16:32,0.005s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-25 21:16:32,2025-10-25 21:16:32,0.000s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-25 21:16:32,2025-10-25 21:16:32,0.007s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-25 21:16:32,2025-10-25 21:16:32,0.009s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/PATCH - Update a User,,,,2025-10-25 21:16:32,2025-10-25 21:16:33,1.385s,PASSED
defaultPackage.RandomData.setRandomUserData(),,,,2025-10-25 21:16:32,2025-10-25 21:16:32,0.000s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-25 21:16:32,2025-10-25 21:16:32,0.009s,PASSED
"response = sendRequestAndVerify(findTestObject(""PATCH - Update a User"", [""UserId"":randomId]))",,,,2025-10-25 21:16:32,2025-10-25 21:16:33,0.979s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-25 21:16:33,2025-10-25 21:16:33,0.000s,PASSED
"schemaPath = getProjectDir() + ""/Include/schemas/update_a_user.json""",,,,2025-10-25 21:16:33,2025-10-25 21:16:33,0.000s,PASSED
schemaFile = new java.io.File(schemaPath),,,,2025-10-25 21:16:33,2025-10-25 21:16:33,0.000s,PASSED
schemaJson = new org.json.JSONObject(new org.json.JSONTokener(new java.io.FileInputStream(schemaFile))),,,,2025-10-25 21:16:33,2025-10-25 21:16:33,0.003s,PASSED
responseJson = new org.json.JSONArray(response.getResponseBodyContent()),,,,2025-10-25 21:16:33,2025-10-25 21:16:33,0.000s,PASSED
load(schemaJson).validate(responseJson),,,,2025-10-25 21:16:33,2025-10-25 21:16:33,0.008s,PASSED
,,,,,,,
Test Cases/Verifikasi Schema/DELETE - Delete a User,,,,2025-10-25 21:16:33,2025-10-25 21:16:35,1.517s,PASSED
defaultPackage.RandomData.setRandomUserData(),,,,2025-10-25 21:16:34,2025-10-25 21:16:34,0.000s,PASSED
"println(""Random ID yang digunakan: "" + randomId)",,,,2025-10-25 21:16:34,2025-10-25 21:16:34,0.000s,PASSED
"response = sendRequestAndVerify(findTestObject(""DELETE - Delete a User"", [""UserId"":randomId]))",,,,2025-10-25 21:16:34,2025-10-25 21:16:35,1.005s,PASSED
println(response.getResponseBodyContent()),,,,2025-10-25 21:16:35,2025-10-25 21:16:35,0.000s,PASSED
